country,company,bucket,filing_count
ALL,,1998-10-01,9
ALL,,1999-03-01,1
ALL,,1999-06-01,15
ALL,,1999-10-01,26
ALL,,2000-03-01,12
ALL,,2000-05-01,1
ALL,,2001-04-01,1
ALL,,2001-09-01,1
ALL,,2001-12-01,1
ALL,,2002-07-01,1
ALL,,2005-07-01,1
ALL,,2007-03-01,1
ALL,,2007-10-01,2
ALL,,2008-03-01,4
ALL,3COM Corporation,1998-02-01,1
ALL,3G Licensing S.A.,2003-11-01,1
ALL,3G Licensing S.A.,2004-08-01,3
ALL,3G Licensing S.A.,2005-04-01,1
ALL,3G Licensing S.A.,2005-08-01,1
ALL,3G Licensing S.A.,2006-05-01,1
ALL,3G Licensing S.A.,2010-03-01,1
ALL,3G Licensing SA,1993-03-01,5
ALL,3G Licensing SA,1995-12-01,1
ALL,3G Licensing SA,1996-12-01,6
ALL,3G Licensing SA,1997-02-01,1
ALL,3G Licensing SA,1997-12-01,1
ALL,3G Licensing SA,1998-01-01,10
ALL,3G Licensing SA,1998-02-01,3
ALL,3G Licensing SA,1998-05-01,1
ALL,3G Licensing SA,1999-12-01,1
ALL,3G Licensing SA,2000-11-01,1
ALL,3G Licensing SA,2001-01-01,1
ALL,3G Licensing SA,2001-10-01,10
ALL,3G Licensing SA,2001-11-01,13
ALL,3G Licensing SA,2002-09-01,1
ALL,3G Licensing SA,2002-11-01,5
ALL,3G Licensing SA,2003-04-01,1
ALL,3G Licensing SA,2003-06-01,1
ALL,3G Licensing SA,2003-07-01,2
ALL,3G Licensing SA,2003-09-01,12
ALL,3G Licensing SA,2003-10-01,1
ALL,3G Licensing SA,2003-11-01,8
ALL,3G Licensing SA,2003-12-01,2
ALL,3G Licensing SA,2004-03-01,9
ALL,3G Licensing SA,2004-04-01,13
ALL,3G Licensing SA,2004-05-01,11
ALL,3G Licensing SA,2004-07-01,2
ALL,3G Licensing SA,2004-10-01,9
ALL,3G Licensing SA,2004-12-01,6
ALL,3G Licensing SA,2005-02-01,1
ALL,3G Licensing SA,2005-03-01,6
ALL,3G Licensing SA,2005-04-01,8
ALL,3G Licensing SA,2005-06-01,6
ALL,3G Licensing SA,2005-07-01,7
ALL,3G Licensing SA,2005-11-01,1
ALL,3G Licensing SA,2006-01-01,2
ALL,3G Licensing SA,2006-03-01,32
ALL,3G Licensing SA,2006-08-01,1
ALL,3G Licensing SA,2007-01-01,9
ALL,3G Licensing SA,2007-02-01,4
ALL,3G Licensing SA,2007-03-01,7
ALL,3G Licensing SA,2007-06-01,1
ALL,3G Licensing SA,2007-07-01,12
ALL,3G Licensing SA,2007-10-01,1
ALL,3G Licensing SA,2008-03-01,1
ALL,3G Licensing SA,2008-06-01,7
ALL,3G Licensing SA,2008-10-01,7
ALL,3G Licensing SA,2009-03-01,4
ALL,3G Licensing SA,2009-08-01,1
ALL,3G Licensing SA,2009-12-01,1
ALL,3G Licensing SA,2010-11-01,1
ALL,3G Licensing SA,2010-12-01,1
ALL,3G Licensing SA,2011-06-01,1
ALL,3G Licensing SA,2011-08-01,1
ALL,3G Licensing SA,2011-10-01,2
ALL,3G Licensing SA,2012-03-01,1
ALL,3G Licensing SA,2012-05-01,3
ALL,3G Licensing SA,2013-01-01,3
ALL,3G Licensing SA,2013-02-01,1
ALL,3G Licensing SA,2013-09-01,1
ALL,3G Licensing SA,2013-12-01,1
ALL,3G Licensing SA,2014-07-01,1
ALL,3G Licensing SA,2015-06-01,1
ALL,3G Licensing SA,2015-12-01,1
ALL,3G Licensing SA,2016-06-01,1
ALL,3G Licensing SA,2016-07-01,1
ALL,3G Licensing SA,2016-12-01,1
ALL,A2Z Development Center Inc. (d/b/a Lab126),2005-06-01,4
ALL,A2Z Development Center Inc. (d/b/a Lab126),2011-10-01,1
ALL,A2Z Development Center Inc. (d/b/a Lab126),2014-03-01,1
ALL,ALCATEL-LUCENT,1990-06-01,1
ALL,ALCATEL-LUCENT,1991-06-01,7
ALL,ALCATEL-LUCENT,1993-09-01,1
ALL,ALCATEL-LUCENT,1994-04-01,1
ALL,ALCATEL-LUCENT,1994-07-01,1
ALL,ALCATEL-LUCENT,1994-08-01,2
ALL,ALCATEL-LUCENT,1994-09-01,9
ALL,ALCATEL-LUCENT,1995-02-01,4
ALL,ALCATEL-LUCENT,1995-03-01,3
ALL,ALCATEL-LUCENT,1995-04-01,14
ALL,ALCATEL-LUCENT,1996-02-01,1
ALL,ALCATEL-LUCENT,1996-10-01,2
ALL,ALCATEL-LUCENT,1997-09-01,1
ALL,ALCATEL-LUCENT,1998-04-01,1
ALL,ALCATEL-LUCENT,1998-09-01,5
ALL,ALCATEL-LUCENT,1998-12-01,2
ALL,ALCATEL-LUCENT,1999-04-01,5
ALL,ALCATEL-LUCENT,1999-08-01,4
ALL,ALCATEL-LUCENT,2000-02-01,8
ALL,ALCATEL-LUCENT,2000-05-01,1
ALL,ALCATEL-LUCENT,2000-06-01,1
ALL,ALCATEL-LUCENT,2000-07-01,1
ALL,ALCATEL-LUCENT,2000-08-01,9
ALL,ALCATEL-LUCENT,2000-10-01,1
ALL,ALCATEL-LUCENT,2000-11-01,1
ALL,ALCATEL-LUCENT,2001-01-01,9
ALL,ALCATEL-LUCENT,2001-06-01,1
ALL,ALCATEL-LUCENT,2001-10-01,20
ALL,ALCATEL-LUCENT,2001-11-01,6
ALL,ALCATEL-LUCENT,2002-05-01,1
ALL,ALCATEL-LUCENT,2003-04-01,1
ALL,ALCATEL-LUCENT,2003-05-01,11
ALL,ALCATEL-LUCENT,2003-08-01,8
ALL,ALCATEL-LUCENT,2003-12-01,4
ALL,ALCATEL-LUCENT,2004-01-01,1
ALL,ALCATEL-LUCENT,2004-04-01,1
ALL,ALCATEL-LUCENT,2004-05-01,13
ALL,ALCATEL-LUCENT,2004-07-01,5
ALL,ALCATEL-LUCENT,2004-08-01,4
ALL,ALCATEL-LUCENT,2004-09-01,1
ALL,ALCATEL-LUCENT,2004-12-01,4
ALL,ALCATEL-LUCENT,2005-04-01,12
ALL,ALCATEL-LUCENT,2005-05-01,3
ALL,ALCATEL-LUCENT,2005-08-01,4
ALL,ALCATEL-LUCENT,2005-11-01,1
ALL,ALCATEL-LUCENT,2006-01-01,5
ALL,ALCATEL-LUCENT,2006-03-01,10
ALL,ALCATEL-LUCENT,2006-04-01,1
ALL,ALCATEL-LUCENT,2006-05-01,2
ALL,ALCATEL-LUCENT,2006-06-01,5
ALL,ALCATEL-LUCENT,2006-08-01,5
ALL,ALCATEL-LUCENT,2006-09-01,2
ALL,ALCATEL-LUCENT,2006-10-01,2
ALL,ALCATEL-LUCENT,2006-11-01,5
ALL,ALCATEL-LUCENT,2006-12-01,1
ALL,ALCATEL-LUCENT,2007-01-01,11
ALL,ALCATEL-LUCENT,2007-02-01,13
ALL,ALCATEL-LUCENT,2007-03-01,8
ALL,ALCATEL-LUCENT,2007-04-01,8
ALL,ALCATEL-LUCENT,2007-05-01,7
ALL,ALCATEL-LUCENT,2007-06-01,25
ALL,ALCATEL-LUCENT,2007-07-01,2
ALL,ALCATEL-LUCENT,2007-08-01,42
ALL,ALCATEL-LUCENT,2007-09-01,5
ALL,ALCATEL-LUCENT,2007-10-01,12
ALL,ALCATEL-LUCENT,2007-12-01,1
ALL,ALCATEL-LUCENT,2008-01-01,24
ALL,ALCATEL-LUCENT,2008-02-01,17
ALL,ALCATEL-LUCENT,2008-03-01,27
ALL,ALCATEL-LUCENT,2008-04-01,9
ALL,ALCATEL-LUCENT,2008-06-01,14
ALL,ALCATEL-LUCENT,2008-07-01,10
ALL,ALCATEL-LUCENT,2008-08-01,3
ALL,ALCATEL-LUCENT,2008-09-01,1
ALL,ALCATEL-LUCENT,2008-10-01,1
ALL,ALCATEL-LUCENT,2008-11-01,3
ALL,ALCATEL-LUCENT,2008-12-01,5
ALL,ALCATEL-LUCENT,2009-01-01,22
ALL,ALCATEL-LUCENT,2009-02-01,20
ALL,ALCATEL-LUCENT,2009-03-01,1
ALL,ALCATEL-LUCENT,2009-04-01,50
ALL,ALCATEL-LUCENT,2009-05-01,1
ALL,ALCATEL-LUCENT,2009-06-01,8
ALL,ALCATEL-LUCENT,2009-08-01,19
ALL,ALCATEL-LUCENT,2009-09-01,1
ALL,ALCATEL-LUCENT,2009-11-01,1
ALL,ALCATEL-LUCENT,2009-12-01,14
ALL,ALCATEL-LUCENT,2010-01-01,1
ALL,ALCATEL-LUCENT,2010-02-01,3
ALL,ALCATEL-LUCENT,2010-03-01,7
ALL,ALCATEL-LUCENT,2010-04-01,2
ALL,ALCATEL-LUCENT,2010-05-01,7
ALL,ALCATEL-LUCENT,2010-06-01,9
ALL,ALCATEL-LUCENT,2010-08-01,6
ALL,ALCATEL-LUCENT,2010-09-01,3
ALL,ALCATEL-LUCENT,2010-10-01,7
ALL,ALCATEL-LUCENT,2010-11-01,1
ALL,ALCATEL-LUCENT,2011-02-01,17
ALL,ALCATEL-LUCENT,2011-03-01,8
ALL,ALCATEL-LUCENT,2011-04-01,9
ALL,ALCATEL-LUCENT,2011-05-01,8
